Name,Acronym,Latitude,Longitude,Pair,Depth
Alliant Center Pond,ALC,43.04651,-89.37526,1,0.79
Lot 60 Pond,L60-UW,43.08113,-89.42701,2,1.17
Hospital Pond,HP-UW,43.07849119,-89.42924194,2,1.98
Owen Park Pond East,OPP-E,43.06869,-89.48714,3,1.64
Owen Park Pond West,OPP-W,43.06867,-89.48837,3,2.67
Elver Pond,ELV,43.03801,-89.50465,4,2.97
Dobson A8 Pond,DOBA8,43.03821381,-89.52240961,5,2.03
Midtown Pond,MDT,43.03737383,-89.5272514,5,1.59
Commercial Ave. Pond,CAP,43.10708,-89.29788,6,1.39
Door Creek Stormwater 1,DCSW1,43.0954817,-89.2514839,7,1.92
Door Creek Stormwater 2,DCSW2,43.0966168,-89.2513815,7,1.69
Door Creek Stormwater 3,DCSW3,43.0984653,-89.2512908,7,2.1
Dobson A4 Pond,DOBA4,43.0926581,-89.2662771,8,1.64
Dobson A5 Pond,DOBA5,43.0749804,-89.2797221,9,2.08
Upper Manitou,UM-ARB,43.04762,-89.43781,10,0.96
Lower Mannitou,LM-ARB,43.0471358,-89.435414,10,0.68
Dobson A7 Pond,DOBA7,43.0599518,-89.4994612,11,1.72
Orchid South,O-S,43.1168532,-89.4778901,12,1.15
Orchid North,O-N,43.1185821,-89.4787793,12,1.14
Kettle Pond,KP,43.0804,-89.47911,13,1.14