Sample Name,TIC,TOC,DIC,DOC,,,,
OPP-W_2021_06_29,16.68,8.431,11.33,8.862,,,,
OPP-E_2021_06_29,18.88,8.171,14.47,7.693,,,,
DOBA7_2021_06_29,9.42,4.825,7.515,4.719,,,,
HP-UW_2021_06_29,20.59,2.248,20.26,2.269,,,,
DOBA8_2021_06_30,7.378,4.07,6.559,4.172,,IC,Filter ,DIC
ELV_2021_06_30,10.82,4.65,9.672,5.113,,OC,Filter ,DOC
MDT_2021_06_30,9.054,4.85,8.175,4.769,,IC,UF,TIC
UM-ARB_2021_06_30,16.28,6.054,11.84,5.666,,OC,UF,TOC
LM-ARB_2021_06_30,16.84,5.954,12.8,5.619,,,,
DCSW2_2021_07_01,23.13,5.203,22.44,5.347,,,,
DCSW1_2021_07_01,21.82,5.306,21.18,5.284,,,,
CAP_2021_07_01,9.976,4.632,8.226,4.522,,,,
DOBA4_2021_07_01,7.539,3.782,6.183,3.583,,,,
DCSW3_2021_07_01,15.35,5.129,15.07,5.294,,,,
DOBA5_2021_07_01,9.897,4.317,7.413,4.251,,,,
O-N_2021_07_01,36.01,4.491,34.3,4.851,,,,
O-S_2021_07_01,31.1,4.439,29.75,4.649,,,,
KP_2021_07_02,22.07,7.404,14.76,7.614,,,,
L60-UW_2021_07_02,21.18,5.311,19.23,5.294,,,,
ALC_2021_07_02,23.64,7.135,23.81,7.104,,,,
DOBA7_2021_07_12,10.31,6.084,7.926,6.053,,,,
OPP-W_2021_07_12,19.96,13.16,14.97,10.51,,,,
OPP-E_2021_07_12,21.39,9.111,16.28,8.601,,,,
LM-ARB_2021_07_13,27.59,6.264,24.31,6.444,,,,
UM-ARB_2021_07_13,28.45,6.297,22.17,5.953,,,,
L60-UW_2021_07_13,20.91,7.57,21.22,7.797,,,,
O-S_2021_07_14,26.99,5.179,25.61,5.13,,,,
O-N_2021_07_14,37.6,5.465,33.86,5.218,,,,
KP_2021_07_14,23.11,12.75,13.96,8.767,,,,
CAP_2021_07_16,11.45,5.51,9.176,5.386,,,,
DOBA4_2021_07_16,9.385,5.892,6.322,4.929,,,,
DOBA5_2021_07_16,12.5,6.948,6.956,6.474,,,,
DCSW3_2021_07_19,29.91,6.095,28.83,6.229,,,,
DCSW1_2021_07_19,23.08,5.805,22.65,6.055,,,,
DCSW2_2021_07_19,35.2,6.175,32.68,5.837,,,,
MDT_2021_07_20,10.68,6.463,8.661,6.014,,,,
DOBA8_2021_07_20,10.38,5.871,8.16,5.017,,,,
ELV_2021_07_20,9.197,5.706,8.337,5.675,,,,
ALC_2021_07_21,23.16,8.277,22.2,8.317,,,,
HP-UW_2021_07_21,47.28,2.276,46.35,2.306,,,,
UM-ARB_2021_08_02,26.18,6.48,21.67,6.5,,,,
LM-ARB_2021_08_02,29.03,7.373,23.88,6.756,,,,
ALC_2021_08_02,27.13,10.5,24.41,10.19,,,,
OPP-E_2021_08_03,24.2,10.18,17.28,7.717,,,,
OPP-W_2021_08_03,19.36,12.21,12.76,11.58,,,,
DOBA7_2021_08_03,9.279,7.811,5.917,7.081,,,,
ELV_2021_08_03,10.45,6.703,8.789,6.003,,,,
KP_2021_08_03,25.12,11.48,16.2,9.979,,,,
O-N_2021_08_03,35.31,6.502,28.53,5.666,,,,
O-S_2021_08_03,26.79,5.497,23.27,5.239,,,,
DCSW1_2021_08_04,24.39,6.702,22.47,6.628,,,,
DCSW2_2021_08_04,39.29,6.06,36.32,5.943,,,,
DCSW3_2021_08_04,34.36,6.826,32.66,6.433,,,,
DOBA4_2021_08_04,10.88,8.736,8.1,7.264,,,,
DOBA5_2021_08_04,15.46,13.84,7.629,10.08,,,,
CAP_2021_08_04,14.38,6.639,11.39,7.04,,,,
L60-UW_2021_08_05,35.13,9.114,27.75,9.057,,,,
HP-UW_2021_08_05,53.33,2.124,52.16,2.192,,,,
DOBA8_2021_08_05,9.541,6.811,7.081,6.616,,,,
MDT_2021_08_05,NA,NA,7.956,6.024,,,,
OPP-E_2021_06_02,18.62,7.505,16.68,7.322,,,,
OPP-W_2021_06_02,16.36,8.946,14.32,8.884,,,,
DOBA7_2021_06_02,11.41,6.349,9.595,6.019,,,,
LM-ARB_2021-06-03,31.65,7.366,27.04,7.239,,,,
UM-ARB_2021-06-03,30.96,7.674,28.95,7.119,,,,
DOBA5_2021-06-07,13.98,7.269,12.99,7.138,,,,
DOBA4_2021-06-07,10.96,6.72,9.844,6.333,,,,
CAP_2021-06-07,20.83,5.893,19.72,6.062,,,,
ALC_2021-06-08,21.22,9.102,20.9,9.028,,,,
ELV_2021-06-08,12.46,6.654,12.01,6.537,,,,
DCSW1_2021-06-09,17.83,8.422,17.61,8.884,,,,
UF-DCSW2_2021-06-09,17.89,7.776,20.45,8.113,,,,
DCSW3_2021-06-09,24.99,6.2,24.72,6.427,,,,
DOBA8_2021-06-10,11.9,6.399,11.45,6.478,,,,
MDT_2021-06-10,9.552,6.974,9.295,7.081,,,,
HP_2021-06-10,66.94,2.445,65.43,2.487,,,,
L60_2021-06-11,24.84,9.774,28.56,9.813,,,,
KP_2021-06-11,21.18,7.677,13.68,7.783,,,,
O-S_2021-06-11,39.71,5.124,39.13,5.099,,,,
O-N_2021-06-11,45.4,5.354,44.29,5.109,,,,
OPP-E_2021-06-14,19.11,9.449,17.96,9.729,,,,
OPP-W_2021-06-14,22.34,15.34,18.94,12.4,,,,
DOBA7_2021-06-14,14.08,8.429,12.77,8.04,,,,
ALC_2021-06-15,19.38,10.78,17.63,10.57,,,,
LM-ARB_2021-06-15,40.97,10.25,36.98,8.882,,,,
UM-ARB_2021-06-15,40.76,10.06,37.89,8.933,,,,
DOBA5_2021-06-16,11.52,11.91,11.22,11.96,,,,
CAP_2021-06-16,19.23,7.027,18.69,6.937,,,,
DOBA4_2021-06-16,10.4,7.261,11.55,7.593,,,,
DOBA8_2021-06-17,12.14,7.104,11.38,6.891,,,,
MDT_2021-06-17,8.263,8.326,7.446,8.073,,,,
ELV_2021-06-17,12.66,7.139,11.67,6.91,,,,
L60_2021-06-18,10.56,3.804,8.976,3.462,,,,
HP_2021-06-18,16.34,3.093,17.12,3.281,,,,
DCSW3_2021-06-21,26.16,6.262,25.75,6.425,,,,
DCSW2_2021-06-21,28.65,7.095,26.98,7.042,,,,
DCSW1_2021-06-21,14.52,7.127,14.67,7.348,,,,
O-N_2021-06-22,35.66,5.862,34.29,5.521,,,,
O-S_2021-06-22,32.38,5.226,30.73,5.081,,,,
KP_2021-06-22,14.19,8.408,21.51,8.33,,,,