analysis_date,batch_id,sample_id,pond,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
11/2/21 7:57,POND,DOBA7_2021-06-02_Surface_1,DOBA7,6/2/21,Surface,85.08371,203.24026,35.64654,11.56519,0.47703,373.33423,1.06564,0.38125,35,105,25.9,25.9,97.87995
11/2/21 8:13,POND,DOBA7_2021-06-02_Surface_2,DOBA7,6/2/21,Surface,86.94571,197.26869,43.44735,19.58928,0.47566,373.33423,1.06564,0.38125,35,105,25.9,25.9,97.87995
11/2/21 8:29,POND,DOBA7_2021-06-02_Surface_3,DOBA7,6/2/21,Surface,86.01471,200.254475,39.546945,15.577235,0.44056,373.33423,1.06564,0.38125,35,105,25.9,25.9,97.87995
11/2/21 7:10,POND,OPP-E_2021-06-02_Surface_1,OPP-E,6/2/21,Surface,84.55283,210.03925,127.37957,111.829,0.41069,397.85274,1.18974,0.37612,35,105,21.5,21.5,98.28525
11/2/21 7:26,POND,OPP-E_2021-06-02_Surface_2,OPP-E,6/2/21,Surface,42.70309,162.31982,112.69504,96.83271,0.43328,397.85274,1.18974,0.37612,35,105,21.5,21.5,98.28525
11/2/21 7:41,POND,OPP-E_2021-06-02_Surface_3,OPP-E,6/2/21,Surface,54.43536,171.37186,98.24459,80.06001,0.42983,397.85274,1.18974,0.37612,35,105,21.5,21.5,98.28525
11/2/21 6:22,POND,OPP-W_2021-06-02_Surface_1,OPP-W,6/2/21,Surface,86.05646,201.34332,123.50486,107.2336,0.49721,353.39124,1.00429,0.38991,35,105,23.9,23.9,98.28525
11/2/21 6:38,POND,OPP-W_2021-06-02_Surface_2,OPP-W,6/2/21,Surface,114.49964,221.47241,123.95608,108.02019,0.49683,353.39124,1.00429,0.38991,35,105,23.9,23.9,98.28525
11/2/21 6:54,POND,OPP-W_2021-06-02_Surface_3,OPP-W,6/2/21,Surface,63.24906,179.66208,71.58345,55.935,0.51855,353.39124,1.00429,0.38991,35,105,23.9,23.9,98.28525
11/2/21 9:32,POND,LM-ARB_2021-06-03_Surface_1,LM-ARB,6/3/21,Surface,2158.99385,2008.90783,134.61958,119.23788,0.507,358.57367,1.10213,0.37975,35,105,22.3,22.3,98.0826
11/2/21 9:48,POND,LM-ARB_2021-06-03_Surface_2,LM-ARB,6/3/21,Surface,1643.738,1569.64571,128.38233,109.77464,0.42847,358.57367,1.10213,0.37975,35,105,22.3,22.3,98.0826
11/2/21 10:04,POND,LM-ARB_2021-06-03_Surface_3,LM-ARB,6/3/21,Surface,1873.47696,1770.57467,155.57824,136.33467,0.43777,358.57367,1.10213,0.37975,35,105,22.3,22.3,98.0826
11/2/21 8:45,POND,UM-ARB_2021-06-03_Surface_1,UM-ARB,6/3/21,Surface,2546.14604,2346.53814,339.37494,324.58612,0.58235,370.85597,1.14357,0.37795,35,105,20.4,20.4,98.0826
11/2/21 9:00,POND,UM-ARB_2021-06-03_Surface_2,UM-ARB,6/3/21,Surface,2292.68779,2129.95651,323.2753,320.62845,0.51481,370.85597,1.14357,0.37795,35,105,20.4,20.4,98.0826
11/2/21 9:16,POND,UM-ARB_2021-06-03_Surface_3,UM-ARB,6/3/21,Surface,2129.14918,1986.8244,315.01743,301.75195,0.58602,370.85597,1.14357,0.37795,35,105,20.4,20.4,98.0826
11/2/21 10:19,POND,CAP_2021-06-07_Surface_1,CAP,6/7/21,Surface,3316.60983,3005.01332,485.4859,484.66809,0.27611,363.34897,0.97641,0.38223,35,105,26.2,26.2,97.981275
11/2/21 10:35,POND,CAP_2021-06-07_Surface_2,CAP,6/7/21,Surface,3108.87212,2831.48296,412.54901,399.77464,0.28092,363.34897,0.97641,0.38223,35,105,26.2,26.2,97.981275
11/2/21 10:51,POND,CAP_2021-06-07_Surface_3,CAP,6/7/21,Surface,2957.13747,2697.01983,373.32984,362.29188,0.28773,363.34897,0.97641,0.38223,35,105,26.2,26.2,97.981275
11/2/21 11:07,POND,DOBA4_2021-06-07_Surface_1,DOBA4,6/7/21,Surface,260.62468,359.86608,47.14843,27.12011,0.36475,362.97375,1.02653,0.38137,35,105,25.8,25.8,97.87995
11/2/21 11:23,POND,DOBA4_2021-06-07_Surface_2,DOBA4,6/7/21,Surface,257.20714,357.50331,42.81866,20.71973,0.36469,362.97375,1.02653,0.38137,35,105,25.8,25.8,97.87995
11/2/21 11:39,POND,DOBA4_2021-06-07_Surface_3,DOBA4,6/7/21,Surface,217.71448,322.73093,52.83157,31.76604,0.36166,362.97375,1.02653,0.38137,35,105,25.8,25.8,97.87995
11/2/21 11:54,POND,DOBA5_2021-06-07_Surface_1,DOBA5,6/7/21,Surface,713.16508,762.54675,131.49757,115.03523,0.41341,354.07785,0.91487,0.37485,35,105,27.9,27.9,97.981275
11/2/21 12:10,POND,DOBA5_2021-06-07_Surface_2,DOBA5,6/7/21,Surface,788.66778,824.12616,149.96757,132.08753,0.42248,354.07785,0.91487,0.37485,35,105,27.9,27.9,97.981275
11/2/21 12:26,POND,DOBA5_2021-06-07_Surface_3,DOBA5,6/7/21,Surface,818.68512,848.48607,204.9244,187.56352,0.42251,354.07785,0.91487,0.37485,35,105,27.9,27.9,97.981275
11/2/21 12:42,POND,ALC_2021-06-08_Surface_1,ALC,6/8/21,Surface,104.41379,225.42717,397.9887,392.82716,0.27457,385.81521,1.08483,0.3806,35,105,24.2,24.2,98.69055
11/2/21 13:25,POND,ALC_2021-06-08_Surface_2,ALC,6/8/21,Surface,91.68906,211.88503,281.03636,270.23124,0.28931,385.81521,1.08483,0.3806,35,105,24.2,24.2,98.69055
11/2/21 13:41,POND,ALC_2021-06-08_Surface_3,ALC,6/8/21,Surface,92.65677,210.32976,308.70013,301.06423,0.29016,385.81521,1.08483,0.3806,35,105,24.2,24.2,98.69055
11/2/21 13:57,POND,ELV_2021-06-08_Surface_1,ELV,6/8/21,Surface,209.98241,316.87456,31.57619,9.98761,0.38974,374.06561,1.02232,0.37341,35,105,27.1,27.1,98.0826
11/2/21 14:13,POND,ELV_2021-06-08_Surface_2,ELV,6/8/21,Surface,229.22639,329.50102,19.58981,-0.76537,0.3918,374.06561,1.02232,0.37341,35,105,27.1,27.1,98.0826
11/2/21 14:29,POND,ELV_2021-06-08_Surface_3,ELV,6/8/21,Surface,269.77326,368.13717,14.75596,-5.9606,0.39115,374.06561,1.02232,0.37341,35,105,27.1,27.1,98.0826
11/2/21 14:45,POND,DCSW1_2021-06-09_Surface_1,DCSW1,6/9/21,Surface,86.41211,197.47682,34.17868,14.76208,0.52907,390.33569,1.13371,0.3821,35,105,26.9,26.9,98.589225
11/2/21 15:00,POND,DCSW1_2021-06-09_Surface_2,DCSW1,6/9/21,Surface,41.40365,170.47337,40.62043,21.34757,0.54762,390.33569,1.13371,0.3821,35,105,26.9,26.9,98.589225
11/2/21 15:16,POND,DCSW1_2021-06-09_Surface_3,DCSW1,6/9/21,Surface,84.99142,203.0458,43.78626,24.40549,0.56767,390.33569,1.13371,0.3821,35,105,26.9,26.9,98.589225
11/2/21 15:32,POND,DCSW2_2021-06-09_Surface_1,DCSW2,6/9/21,Surface,75.67238,186.24357,52.37176,32.16043,0.60123,361.62379,0.99511,0.37661,35,105,27.3,27.3,98.589225
11/2/21 15:48,POND,DCSW2_2021-06-09_Surface_2,DCSW2,6/9/21,Surface,69.71632,189.16434,55.70943,34.84868,0.63896,361.62379,0.99511,0.37661,35,105,27.3,27.3,98.589225
11/2/21 16:04,POND,DCSW2_2021-06-09_Surface_3,DCSW2,6/9/21,Surface,49.06509,162.08944,58.27222,37.71929,0.71421,361.62379,0.99511,0.37661,35,105,27.3,27.3,98.589225
11/2/21 16:20,POND,DCSW3_2021-06-09_Surface_1,DCSW3,6/9/21,Surface,117.78285,228.33466,26.94723,6.02445,0.45833,362.77681,0.9685,0.37865,35,105,28.7,28.7,98.589225
11/2/21 16:35,POND,DCSW3_2021-06-09_Surface_2,DCSW3,6/9/21,Surface,62.89734,179.30558,37.51037,17.2394,0.47014,362.77681,0.9685,0.37865,35,105,28.7,28.7,98.589225
11/2/21 16:51,POND,DCSW3_2021-06-09_Surface_3,DCSW3,6/9/21,Surface,96.22496,211.84169,43.94267,22.10615,0.47977,362.77681,0.9685,0.37865,35,105,28.7,28.7,98.589225
11/2/21 17:55,POND,DOBA8_2021-06-10_Surface_1,DOBA8,6/10/21,Surface,1704.64425,1620.28043,75.59502,58.77375,0.34825,369.62595,1.00413,0.37899,35,105,28.8,28.8,97.6773
11/2/21 18:10,POND,DOBA8_2021-06-10_Surface_2,DOBA8,6/10/21,Surface,1912.79759,1802.90305,95.50878,76.90486,0.34288,369.62595,1.00413,0.37899,35,105,28.8,28.8,97.6773
11/2/21 18:26,POND,DOBA8_2021-06-10_Surface_3,DOBA8,6/10/21,Surface,2103.26656,1970.93706,110.41834,96.11039,0.33189,369.62595,1.00413,0.37899,35,105,28.8,28.8,97.6773
11/2/21 18:42,POND,HP_2021-06-10_Surface_1,HP,6/10/21,Surface,1663.56074,1584.54866,126.86626,112.80674,1.05738,374.31918,1.04969,0.38149,35,105,27.1,27.1,98.386575
11/2/21 18:58,POND,HP_2021-06-10_Surface_2,HP,6/10/21,Surface,1741.9171,1650.87978,143.11955,129.30755,1.10624,374.31918,1.04969,0.38149,35,105,27.1,27.1,98.386575
11/2/21 19:14,POND,HP_2021-06-10_Surface_3,HP,6/10/21,Surface,2095.65135,1958.59564,177.11372,159.96093,1.21969,374.31918,1.04969,0.38149,35,105,27.1,27.1,98.386575
11/2/21 17:07,POND,MDT_2021-06-10_Surface_1,MDT,6/10/21,Surface,102.70207,220.56456,72.28899,52.28658,0.35137,380.37005,1.03089,0.38405,35,105,28.1,28.1,97.272
11/2/21 17:23,POND,MDT_2021-06-10_Surface_2,MDT,6/10/21,Surface,115.99569,224.01833,65.6634,43.70221,0.35329,380.37005,1.03089,0.38405,35,105,28.1,28.1,97.272
11/2/21 17:39,POND,MDT_2021-06-10_Surface_3,MDT,6/10/21,Surface,109.34888,222.291445,68.976195,47.994395,0.34219,380.37005,1.03089,0.38405,35,105,28.1,28.1,97.272
11/2/21 19:29,POND,KP_2021-06-11_Surface_1,KP,6/11/21,Surface,14392.00627,12515.88948,3038.4133,3082.09913,0.23446,399.64381,1.45953,0.39199,35,105,23.8,23.8,97.87995
11/2/21 19:45,POND,KP_2021-06-11_Surface_2,KP,6/11/21,Surface,15668.59019,13595.13613,3584.21051,3636.56957,0.22555,399.64381,1.45953,0.39199,35,105,23.8,23.8,97.87995
11/2/21 20:01,POND,KP_2021-06-11_Surface_3,KP,6/11/21,Surface,17946.9426,15568.43278,4985.46404,5068.70597,0.1738,399.64381,1.45953,0.39199,35,105,23.8,23.8,97.87995
11/2/21 21:52,POND,L60-UW_2021-06-11_Surface_1,L60-UW,6/11/21,Surface,870.9012,899.49722,1011.65991,1016.10003,0.30697,363.12513,1.02972,0.38763,35,105,32.4,32.4,97.981275
11/2/21 22:08,POND,L60-UW_2021-06-11_Surface_2,L60-UW,6/11/21,Surface,427.95668,512.51451,1694.3596,1717.34304,0.26098,363.12513,1.02972,0.38763,35,105,32.4,32.4,97.981275
11/2/21 22:23,POND,L60-UW_2021-06-11_Surface_3,L60-UW,6/11/21,Surface,649.42894,706.005865,1353.009755,1366.721535,0.283975,363.12513,1.02972,0.38763,35,105,32.4,32.4,97.981275
11/2/21 21:04,POND,O-N_2021-06-11_Surface_1,O-N,6/11/21,Surface,557.99053,629.71269,21.46429,-4.08366,0.51072,363.23607,1.09361,0.38698,35,105,31.1,31.1,97.981275
11/2/21 21:20,POND,O-N_2021-06-11_Surface_2,O-N,6/11/21,Surface,528.72379,599.93452,22.51833,0.57271,0.53053,363.23607,1.09361,0.38698,35,105,31.1,31.1,97.981275
11/2/21 21:36,POND,O-N_2021-06-11_Surface_3,O-N,6/11/21,Surface,520.59851,587.63137,26.81395,4.84292,0.56466,363.23607,1.09361,0.38698,35,105,31.1,31.1,97.981275
11/2/21 20:17,POND,O-S_2021-06-11_Surface_1,O-S,6/11/21,Surface,684.1774,737.36567,50.77652,27.78695,0.35908,396.2169,1.6635,0.38751,35,105,29.5,29.5,97.981275
11/2/21 20:33,POND,O-S_2021-06-11_Surface_2,O-S,6/11/21,Surface,624.92116,680.57507,43.78306,26.18191,0.3643,396.2169,1.6635,0.38751,35,105,29.5,29.5,97.981275
11/2/21 20:48,POND,O-S_2021-06-11_Surface_3,O-S,6/11/21,Surface,645.98245,696.38549,36.88605,14.27431,0.36014,396.2169,1.6635,0.38751,35,105,29.5,29.5,97.981275
11/12/21 6:31,POND,DOBA7_2021-06-14_Surface_1,DOBA7,6/14/21,Surface,341.38004,410.63409,92.2996,0,0.35235,349.62996,0.83154,0.4085,35,105,25,25,97.667
11/12/21 6:47,POND,DOBA7_2021-06-14_Surface_2,DOBA7,6/14/21,Surface,329.89494,388.14136,71.48354,0,0.35705,349.62996,0.83154,0.4085,35,105,25,25,97.667
11/12/21 7:03,POND,DOBA7_2021-06-14_Surface_3,DOBA7,6/14/21,Surface,263.04975,329.47921,117.86464,0,0.32735,349.62996,0.83154,0.4085,35,105,25,25,97.667
11/12/21 8:06,POND,OPP-E_2021-06-14_Surface_1,OPP-E,6/14/21,Surface,188.86186,264.88991,68.31268,0,0.33683,337.30348,0.98214,0.40413,35,105,27,27,97.97
11/12/21 8:22,POND,OPP-E_2021-06-14_Surface_2,OPP-E,6/14/21,Surface,192.56755,267.42898,47.56945,0,0.34627,337.30348,0.98214,0.40413,35,105,27,27,97.97
11/12/21 8:38,POND,OPP-E_2021-06-14_Surface_3,OPP-E,6/14/21,Surface,177.12935,251.76323,89.7229,0,0.32821,337.30348,0.98214,0.40413,35,105,27,27,97.97
11/12/21 7:19,POND,OPP-W_2021-06-14_Surface_1,OPP-W,6/14/21,Surface,282.07643,352.07658,34.38557,0,0.34812,343.0005,1.20532,0.41006,35,105,25.5,25.5,97.97
11/12/21 7:35,POND,OPP-W_2021-06-14_Surface_2,OPP-W,6/14/21,Surface,421.26622,483.304715,42.36759,0,0.31238,343.0005,1.20532,0.41006,35,105,25.5,25.5,97.97
11/12/21 7:50,POND,OPP-W_2021-06-14_Surface_3,OPP-W,6/14/21,Surface,560.45601,614.53285,50.34961,0,0.32754,343.0005,1.20532,0.41006,35,105,25.5,25.5,97.97
11/12/21 8:54,POND,ALC_2021-06-15_Surface_1,ALC,6/15/21,Surface,124.09013,124.09013,104.10437,104.10437,0.36519,349.61494,0.95306,0.40689,35,105,23.1,23.1,98.576
11/12/21 9:10,POND,ALC_2021-06-15_Surface_2,ALC,6/15/21,Surface,89.59254,89.59254,162.18975,162.18975,0.35063,349.61494,0.95306,0.40689,35,105,23.1,23.1,98.576
11/12/21 9:25,POND,ALC_2021-06-15_Surface_3,ALC,6/15/21,Surface,91.91658,91.91658,145.99101,145.99101,0.34891,349.61494,0.95306,0.40689,35,105,23.1,23.1,98.576
11/12/21 9:41,POND,LM-ARB_2021-06-15_Surface_1,LM-ARB,6/15/21,Surface,3817.518,3594.31255,161.19603,0,0.55188,351.40072,1.00677,0.40969,35,105,24.2,24.2,98.677
11/12/21 9:57,POND,LM-ARB_2021-06-15_Surface_2,LM-ARB,6/15/21,Surface,2864.85772,2732.29799,105.29358,0,0.52491,351.40072,1.00677,0.40969,35,105,24.2,24.2,98.677
11/12/21 10:13,POND,LM-ARB_2021-06-15_Surface_3,LM-ARB,6/15/21,Surface,3432.35126,3232.36476,135.82565,0,0.54574,351.40072,1.00677,0.40969,35,105,24.2,24.2,98.677
11/12/21 10:29,POND,UM-ARB_2021-06-15_Surface_1,UM-ARB,6/15/21,Surface,2670.57022,2549.62658,58.56247,0,0.55276,347.04463,1.66717,0.40941,35,105,25.4,25.4,98.576
11/12/21 10:44,POND,UM-ARB_2021-06-15_Surface_2,UM-ARB,6/15/21,Surface,2886.41333,2743.42966,81.97757,0,0.60294,347.04463,1.66717,0.40941,35,105,25.4,25.4,98.576
11/12/21 11:00,POND,UM-ARB_2021-06-15_Surface_3,UM-ARB,6/15/21,Surface,3100.61728,2949.99311,101.96863,0,0.58707,347.04463,1.66717,0.40941,35,105,25.4,25.4,98.576
11/12/21 12:51,POND,CAP_2021-06-16_Surface_1,CAP,6/16/21,Surface,337.66908,406.66987,157.49174,0,0.29789,365.29059,1.64267,0.40919,35,105,25.8,25.8,98.475
11/12/21 13:07,POND,CAP_2021-06-16_Surface_2,CAP,6/16/21,Surface,366.77184,427.81248,167.36062,0,0.29379,365.29059,1.64267,0.40919,35,105,25.8,25.8,98.475
11/12/21 13:23,POND,CAP_2021-06-16_Surface_3,CAP,6/16/21,Surface,411.81445,480.81975,212.78086,0,0.29008,365.29059,1.64267,0.40919,35,105,25.8,25.8,98.475
11/12/21 12:04,POND,DOBA4_2021-06-16_Surface_1,DOBA4,6/16/21,Surface,712.55383,760.45223,73.88907,0,0.36748,368.39329,1.12632,0.41217,35,105,24,24,98.374
11/12/21 12:19,POND,DOBA4_2021-06-16_Surface_2,DOBA4,6/16/21,Surface,749.78384,800.47616,90.31841,0,0.36578,368.39329,1.12632,0.41217,35,105,24,24,98.374
11/12/21 12:35,POND,DOBA4_2021-06-16_Surface_3,DOBA4,6/16/21,Surface,923.74352,955.00301,144.67717,0,0.326,368.39329,1.12632,0.41217,35,105,24,24,98.374
11/12/21 11:16,POND,DOBA5_2021-06-16_Surface_1,DOBA5,6/16/21,Surface,190.30838,257.13987,998.85094,1004.06068,0.37754,346.2561,1.02414,0.40838,35,105,23.9,23.9,97.667
11/12/21 11:32,POND,DOBA5_2021-06-16_Surface_2,DOBA5,6/16/21,Surface,186.21089,253.95867,1173.15738,1182.15473,0.36896,346.2561,1.02414,0.40838,35,105,23.9,23.9,97.667
11/12/21 11:48,POND,DOBA5_2021-06-16_Surface_3,DOBA5,6/16/21,Surface,173.26554,243.58546,988.93447,994.45081,0.37491,346.2561,1.02414,0.40838,35,105,23.9,23.9,97.667
11/12/21 13:38,POND,DOBA8_2021-06-17_Surface_1,DOBA8,6/17/21,Surface,1055.34317,1084.13287,103.93825,0,0.32353,339.41933,0.94389,0.41148,35,105,25.3,25.3,97.263
11/12/21 13:54,POND,DOBA8_2021-06-17_Surface_2,DOBA8,6/17/21,Surface,1139.74362,1144.15098,121.07585,0,0.31742,339.41933,0.94389,0.41148,35,105,25.3,25.3,97.263
11/12/21 14:10,POND,DOBA8_2021-06-17_Surface_3,DOBA8,6/17/21,Surface,1251.91584,1250.49158,158.26585,0,0.30062,339.41933,0.94389,0.41148,35,105,25.3,25.3,97.263
11/12/21 15:13,POND,ELV_2021-06-17_Surface_1,ELV,6/17/21,Surface,207.08009,274.97899,25.33488,0,0.35562,347.75291,1.37114,0.41673,35,105,24.6,24.6,97.465
11/12/21 15:29,POND,ELV_2021-06-17_Surface_2,ELV,6/17/21,Surface,131.96905,203.39694,29.99149,0,0.36027,347.75291,1.37114,0.41673,35,105,24.6,24.6,97.465
11/12/21 15:45,POND,ELV_2021-06-17_Surface_3,ELV,6/17/21,Surface,179.93365,248.55749,30.69242,0,0.35098,347.75291,1.37114,0.41673,35,105,24.6,24.6,97.465
11/12/21 14:26,POND,MDT_2021-06-17_Surface_1,MDT,6/17/21,Surface,102.77469,102.77469,56.14807,56.14807,0.35319,337.88479,1.09521,0.41253,35,105,25.5,25.5,97.364
11/12/21 14:42,POND,MDT_2021-06-17_Surface_2,MDT,6/17/21,Surface,67.7528,67.7528,63.40697,63.40697,0.34516,337.88479,1.09521,0.41253,35,105,25.5,25.5,97.364
11/12/21 14:58,POND,MDT_2021-06-17_Surface_3,MDT,6/17/21,Surface,128.95514,203.59697,51.27247,0,0.36465,337.88479,1.09521,0.41253,35,105,25.5,25.5,97.364
11/12/21 16:01,POND,HP_2021-06-18_Surface_1,HP,6/18/21,Surface,708.92112,750.05158,41.43001,0,1.40611,348.50531,1.28327,0.42273,35,105,23.4,23.4,97.566
11/12/21 16:17,POND,HP_2021-06-18_Surface_2,HP,6/18/21,Surface,710.01832,762.08161,53.89815,0,1.54257,348.50531,1.28327,0.42273,35,105,23.4,23.4,97.566
11/12/21 16:33,POND,HP_2021-06-18_Surface_3,HP,6/18/21,Surface,702.83104,749.68476,49.06815,0,1.55498,348.50531,1.28327,0.42273,35,105,23.4,23.4,97.566
11/12/21 16:49,POND,L60-UW_2021-06-18_Surface_1,L60-UW,6/18/21,Surface,1060.1482,1085.01316,55.0956,0,1.43652,391.79131,13.63926,0.41834,35,105,22.7,22.7,97.566
11/13/21 19:27,POND,L60-UW_2021-06-18_Surface_2,L60-UW,6/18/21,Surface,1211.36847,1221.93982,61.01014,0,1.32425,391.79131,13.63926,0.41834,35,105,22.7,22.7,97.566
11/13/21 19:43,POND,L60-UW_2021-06-18_Surface_3,L60-UW,6/18/21,Surface,1335.01977,1344.19836,86.12095,0,1.71855,391.79131,13.63926,0.41834,35,105,22.7,22.7,97.566
11/13/21 21:33,POND,DCSW1_2021-06-21_Surface_1,DCSW1,6/21/21,Surface,173.3164,242.28468,179.79858,0,0.78164,370.75816,2.037495,0.42568,35,105,22.6,22.6,97.364
11/13/21 21:49,POND,DCSW1_2021-06-21_Surface_2,DCSW1,6/21/21,Surface,134.68738,210.83652,180.35203,0,0.77308,370.75816,2.037495,0.42568,35,105,22.6,22.6,97.364
11/13/21 22:05,POND,DCSW1_2021-06-21_Surface_3,DCSW1,6/21/21,Surface,131.11093,200.72631,203.87446,0,0.78573,370.75816,2.037495,0.42568,35,105,22.6,22.6,97.364
11/13/21 20:46,POND,DCSW2_2021-06-21_Surface_1,DCSW2,6/21/21,Surface,2355.1727,2257.93799,581.22169,585.94512,2.73906,365.75085,1.92278,0.41815,35,105,22.3,22.3,97.263
11/13/21 21:02,POND,DCSW2_2021-06-21_Surface_2,DCSW2,6/21/21,Surface,2757.1627,2620.72627,909.31569,916.63978,2.13093,365.75085,1.92278,0.41815,35,105,22.3,22.3,97.263
11/13/21 21:18,POND,DCSW2_2021-06-21_Surface_3,DCSW2,6/21/21,Surface,2240.69343,2157.28247,567.18588,569.95995,2.57552,365.75085,1.92278,0.41815,35,105,22.3,22.3,97.263
11/13/21 19:58,POND,DCSW3_2021-06-21_Surface_1,DCSW3,6/21/21,Surface,1453.58007,1427.78018,1367.13033,1383.6462,0.41135,352.43953,1.12735,0.41828,35,105,22.2,22.2,97.162
11/13/21 20:14,POND,DCSW3_2021-06-21_Surface_2,DCSW3,6/21/21,Surface,1452.825225,1430.63639,1274.193905,1288.604875,0.425865,352.43953,1.12735,0.41828,35,105,22.2,22.2,97.162
11/13/21 20:30,POND,DCSW3_2021-06-21_Surface_3,DCSW3,6/21/21,Surface,1452.07038,1433.4926,1181.25748,1193.56355,0.44038,352.43953,1.12735,0.41828,35,105,22.2,22.2,97.162
11/13/21 22:21,POND,KP_2021-06-22_Surface_1,KP,6/22/21,Surface,14477.59084,13318.87671,4867.32195,4959.47707,0.19055,352.69817,1.39783,0.4196,35,105,20.9,20.9,97.869
11/13/21 22:37,POND,KP_2021-06-22_Surface_2,KP,6/22/21,Surface,10716.2039,9861.15854,3206.32301,3253.07768,0.25043,352.69817,1.39783,0.4196,35,105,20.9,20.9,97.869
11/13/21 22:53,POND,KP_2021-06-22_Surface_3,KP,6/22/21,Surface,14163.98685,13023.03909,4835.45351,4920.52793,0.1908,352.69817,1.39783,0.4196,35,105,20.9,20.9,97.869
11/13/21 23:56,POND,O-N_2021-06-22_Surface_1,O-N,6/22/21,Surface,1500.39902,1484.63667,23.28008,0,0.6548,343.2746,1.48163,0.42096,35,105,21.7,21.7,97.869
11/14/21 0:12,POND,O-N_2021-06-22_Surface_2,O-N,6/22/21,Surface,1534.97476,1527.01274,25.45742,0,0.67976,343.2746,1.48163,0.42096,35,105,21.7,21.7,97.869
11/14/21 0:28,POND,O-N_2021-06-22_Surface_3,O-N,6/22/21,Surface,1540.18283,1515.03745,50.46298,0,0.66902,343.2746,1.48163,0.42096,35,105,21.7,21.7,97.869
11/13/21 23:08,POND,O-S_2021-06-22_Surface_1,O-S,6/22/21,Surface,1113.3159,1130.63861,32.14791,0,0.39539,353.41734,1.09957,0.4238,35,105,22.8,22.8,97.869
