sample_number,analysis_date,batch_id,sample_id,pond,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
90,4/24/22 0:19,POND,DCSW3_2022-01-27_Surface_2,DCSW3,2022-01-27,Surface,692.41405,692.41405,98.61205,98.61205,0.40531,373.242185,1.020925,0.472365,35,105,0.7,0.7,98.507
91,4/24/22 0:34,POND,CAP_2022-01-27_Surface_1,CAP,2022-01-27,Surface,5022.13976,5022.13976,2324.81093,2324.81093,0.06683,359.75038,0.98748,0.47333,35,105,1.3,1.3,98.467
92,4/24/22 0:49,POND,CAP_2022-01-27_Surface_2,CAP,2022-01-27,Surface,5138.34408,5138.34408,2329.72658,2329.72658,0.06523,359.75038,0.98748,0.47333,35,105,1.3,1.3,98.467
93,4/24/22 1:04,POND,CAP_2022-01-27_Surface_2,CAP,2022-01-27,Surface,4882.48166,4882.48166,2274.51864,2274.51864,0.07653,359.75038,0.98748,0.47333,35,105,1.3,1.3,98.467
94,4/24/22 1:19,POND,DOBA5_2022-01-27_Surface_1,DOBA5,2022-01-27,Surface,4093.82832,4093.82832,3470.24746,3470.24746,0.07268,372.147115,1.21581,0.47875,35,105,2,2,98.36
95,4/24/22 1:35,POND,DOBA5_2022-01-27_Surface_2,DOBA5,2022-01-27,Surface,4055.78928,4055.78928,3391.70505,3391.70505,0.07843,372.147115,1.21581,0.47875,35,105,2,2,98.36
96,4/24/22 1:50,POND,DOBA5_2022-01-27_Surface_2,DOBA5,2022-01-27,Surface,3999.14028,3999.14028,4030.10788,4030.10788,0.06934,372.147115,1.21581,0.47875,35,105,2,2,98.36
97,4/24/22 2:05,POND,DOBA4_2022-01-27_Surface_1,DOBA4,2022-01-27,Surface,3028.85068,3028.85068,251.05208,251.05208,0.20485,367.02432,0.884235,0.47381,35,105,1.4,1.4,98.307
98,4/24/22 2:20,POND,DOBA4_2022-01-27_Surface_2,DOBA4,2022-01-27,Surface,2801.56439,2801.56439,271.14267,271.14267,0.21854,367.02432,0.884235,0.47381,35,105,1.4,1.4,98.307
99,4/24/22 2:35,POND,DOBA4_2022-01-27_Surface_2,DOBA4,2022-01-27,Surface,3224.77029,3224.77029,177.78539,177.78539,0.21629,367.02432,0.884235,0.47381,35,105,1.4,1.4,98.307
100,4/24/22 2:51,POND,KP_2022-01-30_Surface_1,KP,2022-01-30,Surface,32523.49099,32523.49099,42245.9459,42245.9459,0.07479,363.92453,1.11029,0.481105,35,105,0.2,0.2,98.267
101,4/24/22 3:06,POND,KP_2022-01-30_Surface_2,KP,2022-01-30,Surface,32377.55621,32377.55621,44702.41168,44702.41168,0.06137,363.92453,1.11029,0.481105,35,105,0.2,0.2,98.267
102,4/24/22 3:21,POND,KP_2022-01-30_Surface_3,KP,2022-01-30,Surface,33001.24709,33001.24709,44230.13377,44230.13377,0.06692,363.92453,1.11029,0.481105,35,105,0.2,0.2,98.267
103,4/24/22 3:36,POND,ELV_2022-01-30_Surface_1,ELV,2022-01-30,Surface,886.52094,886.52094,364.64503,364.64503,0.50432,360.83175,1.25962,0.481585,35,105,1.5,1.5,97.96
104,4/24/22 3:51,POND,ELV_2022-01-30_Surface_2,ELV,2022-01-30,Surface,882.56787,882.56787,289.14116,289.14116,0.50528,360.83175,1.25962,0.481585,35,105,1.5,1.5,97.96
105,4/24/22 4:07,POND,ELV_2022-01-30_Surface_3,ELV,2022-01-30,Surface,802.85632,802.85632,369.7499,369.7499,0.51534,360.83175,1.25962,0.481585,35,105,1.5,1.5,97.96
106,4/24/22 4:22,POND,MDT_2022-01-30_Surface_1,MDT,2022-01-30,Surface,1511.27093,1511.27093,22.78866,22.78866,0.3681,364.67313,1.41786,0.485385,35,105,1.1,1.1,97.787
107,4/24/22 4:37,POND,MDT_2022-01-30_Surface_2,MDT,2022-01-30,Surface,1552.27613,1552.27613,26.47258,26.47258,0.36533,364.67313,1.41786,0.485385,35,105,1.1,1.1,97.787
108,4/24/22 4:52,POND,MDT_2022-01-30_Surface_3,MDT,2022-01-30,Surface,1536.78475,1536.78475,21.21731,21.21731,0.37849,364.67313,1.41786,0.485385,35,105,1.1,1.1,97.787
109,4/24/22 5:07,POND,O-N_2022-01-30_Surface_1,O-N,2022-01-30,Surface,715.84485,715.84485,32.94967,32.94967,3.47494,401.431095,1.02001,0.481305,35,105,2.3,2.3,98.454
110,4/24/22 5:23,POND,O-N_2022-01-30_Surface_2,O-N,2022-01-30,Surface,778.16542,778.16542,69.47616,69.47616,3.54954,401.431095,1.02001,0.481305,35,105,2.3,2.3,98.454
111,4/24/22 5:38,POND,O-N_2022-01-30_Surface_3,O-N,2022-01-30,Surface,747.005135,747.005135,51.212915,51.212915,3.39702,401.431095,1.02001,0.481305,35,105,2.3,2.3,98.454
112,4/24/22 5:53,POND,O-S_2022-01-30_Surface_1,O-S,2022-01-30,Surface,2077.94455,2077.94455,23.98942,23.98942,1.15808,399.83747,1.11021,0.48746,35,105,0.8,0.8,98.48
113,4/24/22 6:08,POND,O-S_2022-01-30_Surface_2,O-S,2022-01-30,Surface,2197.33917,2197.33917,35.66064,35.66064,1.22568,399.83747,1.11021,0.48746,35,105,0.8,0.8,98.48
114,4/24/22 6:23,POND,O-S_2022-01-30_Surface_3,O-S,2022-01-30,Surface,2159.20106,2159.20106,26.75744,26.75744,1.20945,399.83747,1.11021,0.48746,35,105,0.8,0.8,98.48
115,4/24/22 6:39,POND,DOBA7_2022-01-31_Surface_1,DOBA7,2022-01-31,Surface,982.72401,982.72401,3971.92493,3971.92493,1.04721,367.655345,1.205675,0.4864,35,105,0.6,0.6,98
116,4/24/22 6:54,POND,DOBA7_2022-01-31_Surface_2,DOBA7,2022-01-31,Surface,980.00092,980.00092,3834.23444,3834.23444,1.05558,367.655345,1.205675,0.4864,35,105,0.6,0.6,98
117,4/24/22 7:09,POND,DOBA7_2022-01-31_Surface_3,DOBA7,2022-01-31,Surface,840.21715,840.21715,4134.29345,4134.29345,1.04533,367.655345,1.205675,0.4864,35,105,0.6,0.6,98
118,4/24/22 7:24,POND,DOBA8_2022-01-30_Surface_1,DOBA8,2022-01-30,Surface,4329.53001,4329.53001,165.6633,165.6633,0.34602,365.711265,1.3348,0.48445,35,105,2.4,2.4,97.76
119,4/24/22 7:39,POND,DOBA8_2022-01-30_Surface_2,DOBA8,2022-01-30,Surface,4297.87636,4297.87636,137.58772,137.58772,0.35356,365.711265,1.3348,0.48445,35,105,2.4,2.4,97.76
120,4/24/22 7:55,POND,DOBA8_2022-01-30_Surface_3,DOBA8,2022-01-30,Surface,4237.66144,4237.66144,181.04764,181.04764,0.34701,365.711265,1.3348,0.48445,35,105,2.4,2.4,97.76
121,4/24/22 8:10,POND,HP_2022-02-09_Surface_1,HP,2022-02-09,Surface,1633.14273,1633.14273,211.61214,211.61214,1.29616,377.209695,1.2312,0.48544,35,105,2.7,2.7,97.267
122,4/24/22 8:25,POND,HP_2022-02-09_Surface_2,HP,2022-02-09,Surface,1697.81732,1697.81732,169.44467,169.44467,1.37268,377.209695,1.2312,0.48544,35,105,2.7,2.7,97.267
123,4/24/22 8:40,POND,HP_2022-02-09_Surface_3,HP,2022-02-09,Surface,1647.84973,1647.84973,253.20007,253.20007,1.30362,377.209695,1.2312,0.48544,35,105,2.7,2.7,97.267
124,4/24/22 8:56,POND,L60_2022-02-09_Surface_1,L60,2022-02-09,Surface,7409.33174,7409.33174,4653.82538,4653.82538,0.08685,354.61441,1.225495,0.48787,35,105,0.4,0.4,97.28
125,4/24/22 9:11,POND,L60_2022-02-09_Surface_2,L60,2022-02-09,Surface,7340.10454,7340.10454,4942.19426,4942.19426,0.08011,354.61441,1.225495,0.48787,35,105,0.4,0.4,97.28
126,4/24/22 9:26,POND,L60_2022-02-09_Surface_3,L60,2022-02-09,Surface,7278.36598,7278.36598,4613.00724,4613.00724,0.08817,354.61441,1.225495,0.48787,35,105,0.4,0.4,97.28
127,4/24/22 9:41,POND,ALC_2022-02-09_Surface_1,ALC,2022-02-09,Surface,7356.22097,7356.22097,7513.04988,7513.04988,0.08314,373.753025,1.04937,0.503235,35,105,0.5,0.5,97.307
128,4/24/22 9:56,POND,ALC_2022-02-09_Surface_2,ALC,2022-02-09,Surface,7295.14824,7295.14824,7347.4806,7347.4806,0.08983,373.753025,1.04937,0.503235,35,105,0.5,0.5,97.307
129,4/24/22 10:12,POND,ALC_2022-02-09_Surface_3,ALC,2022-02-09,Surface,7433.79972,7433.79972,7463.50843,7463.50843,0.08687,373.753025,1.04937,0.503235,35,105,0.5,0.5,97.307
130,4/24/22 10:27,POND,DOBA5_2022-02-09_Surface_1,DOBA5,2022-02-09,Surface,3092.46333,3092.46333,671.09848,671.09848,0.0937,360.9398517,1.28122,0.50101,35,105,1.3,1.3,97.054
131,4/24/22 10:42,POND,DOBA5_2022-02-09_Surface_2,DOBA5,2022-02-09,Surface,3168.85435,3168.85435,701.57233,701.57233,0.07887,360.9398517,1.28122,0.50101,35,105,1.3,1.3,97.054
132,4/24/22 10:57,POND,DOBA5_2022-02-09_Surface_3,DOBA5,2022-02-09,Surface,2635.72309,2635.72309,686.335405,686.335405,0.07402,360.9398517,1.28122,0.50101,35,105,1.3,1.3,97.054
133,4/24/22 11:12,POND,DOBA4_2022-02-09_Surface_1,DOBA4,2022-02-09,Surface,2117.67387,2117.67387,494.36609,494.36609,0.11461,361.058315,1.16988,0.50386,35,105,1,1,97
134,4/24/22 11:28,POND,DOBA4_2022-02-09_Surface_2,DOBA4,2022-02-09,Surface,2118.49121,2118.49121,465.45649,465.45649,0.12051,361.058315,1.16988,0.50386,35,105,1,1,97
135,4/24/22 11:43,POND,DOBA4_2022-02-09_Surface_3,DOBA4,2022-02-09,Surface,2110.74629,2110.74629,458.11962,458.11962,0.12931,361.058315,1.16988,0.50386,35,105,1,1,97
136,4/24/22 11:58,POND,DCSW1_2022-02-09_Surface_1,DCSW1,2022-02-09,Surface,4344.96854,4344.96854,67.28425,67.28425,0.36006,355.60817,1.04399,0.502845,35,105,1.9,1.9,97.107
137,4/24/22 12:13,POND,DCSW1_2022-02-09_Surface_2,DCSW1,2022-02-09,Surface,4354.8056,4354.8056,70.34974,70.34974,0.35772,355.60817,1.04399,0.502845,35,105,1.9,1.9,97.107
138,4/24/22 12:28,POND,DCSW1_2022-02-09_Surface_3,DCSW1,2022-02-09,Surface,4298.98759,4298.98759,68.50823,68.50823,0.3553,355.60817,1.04399,0.502845,35,105,1.9,1.9,97.107
139,4/24/22 12:44,POND,DCSW2_2022-02-09_Surface_1,DCSW2,2022-02-09,Surface,4476.70459,4476.70459,1558.57671,1558.57671,0.48871,383.26939,1.086215,0.50047,35,105,0.6,0.6,97.094
140,4/24/22 12:59,POND,DCSW2_2022-02-09_Surface_2,DCSW2,2022-02-09,Surface,4433.45559,4433.45559,1641.21413,1641.21413,0.48536,383.26939,1.086215,0.50047,35,105,0.6,0.6,97.094
141,4/24/22 13:14,POND,DCSW2_2022-02-09_Surface_3,DCSW2,2022-02-09,Surface,4236.42497,4236.42497,1559.99988,1559.99988,0.46307,383.26939,1.086215,0.50047,35,105,0.6,0.6,97.094
142,4/24/22 13:29,POND,DCSW3_2022-02-09_Surface_1,DCSW3,2022-02-09,Surface,1259.54396,1259.54396,89.56588,89.56588,0.32988,356.34492,1.055355,0.49806,35,105,1.4,1.4,97.134
143,4/24/22 13:44,POND,DCSW3_2022-02-09_Surface_2,DCSW3,2022-02-09,Surface,1321.02824,1321.02824,98.40353,98.40353,0.3282,356.34492,1.055355,0.49806,35,105,1.4,1.4,97.134
144,4/24/22 14:00,POND,DCSW3_2022-02-09_Surface_3,DCSW3,2022-02-09,Surface,1271.13534,1271.13534,85.59626,85.59626,0.32717,356.34492,1.055355,0.49806,35,105,1.4,1.4,97.134
145,4/24/22 14:15,POND,CAP_2022-02-09_Surface_1,CAP,2022-02-09,Surface,4892.36047,4892.36047,4884.22233,4884.22233,0.08341,401.915985,1.000835,0.499255,35,105,0.9,0.9,97
146,4/24/22 14:30,POND,CAP_2022-02-09_Surface_2,CAP,2022-02-09,Surface,4922.38127,4922.38127,5010.20251,5010.20251,0.08473,401.915985,1.000835,0.499255,35,105,0.9,0.9,97
147,4/24/22 14:45,POND,CAP_2022-02-09_Surface_3,CAP,2022-02-09,Surface,4923.2273,4923.2273,4906.74434,4906.74434,0.08909,401.915985,1.000835,0.499255,35,105,0.9,0.9,97
148,4/24/22 15:01,POND,KP_2022-02-10_Surface_1,KP,2022-02-10,Surface,38378.33593,38378.33593,57454.00097,57454.00097,0.07779,367.59144,1.166785,0.49896,35,105,0.4,0.4,98.04
149,4/24/22 15:16,POND,KP_2022-02-10_Surface_2,KP,2022-02-10,Surface,38171.07076,38171.07076,61514.27998,61514.27998,0.05561,367.59144,1.166785,0.49896,35,105,0.4,0.4,98.04
150,4/24/22 15:31,POND,KP_2022-02-10_Surface_3,KP,2022-02-10,Surface,38403.59266,38403.59266,58868.26538,58868.26538,0.05775,367.59144,1.166785,0.49896,35,105,0.4,0.4,98.04
151,4/24/22 15:46,POND,O-S_2022-02-10_Surface_1,O-S,2022-02-10,Surface,2600.21385,2600.21385,69.937135,69.937135,1.08177,355.246485,1.15511,0.499875,35,105,1,1,98.2
152,4/24/22 16:01,POND,O-S_2022-02-10_Surface_2,O-S,2022-02-10,Surface,2470.04867,2470.04867,72.02154,72.02154,1.08093,355.246485,1.15511,0.499875,35,105,1,1,98.2
153,4/24/22 16:17,POND,O-S_2022-02-10_Surface_3,O-S,2022-02-10,Surface,2407.70705,2407.70705,67.85273,67.85273,1.05018,355.246485,1.15511,0.499875,35,105,1,1,98.2
154,4/24/22 16:32,POND,O-N_2022-02-10_Surface_1,O-N,2022-02-10,Surface,867.37058,867.37058,53.61898,53.61898,3.5507,358.370075,1.011565,0.4988,35,105,2.1,2.1,98.467
155,4/24/22 16:47,POND,O-N_2022-02-10_Surface_2,O-N,2022-02-10,Surface,853.3348,853.3348,46.66092,46.66092,3.54557,358.370075,1.011565,0.4988,35,105,2.1,2.1,98.467
156,4/24/22 17:02,POND,O-N_2022-02-10_Surface_3,O-N,2022-02-10,Surface,842.40578,842.40578,45.39287,45.39287,3.57186,358.370075,1.011565,0.4988,35,105,2.1,2.1,98.467
157,4/24/22 17:17,POND,MDT_2022-02-10_Surface_1,MDT,2022-02-10,Surface,1548.79043,1548.79043,57.57303,57.57303,0.28128,356.767505,1.11628,0.50291,35,105,0,0,97.254
158,4/24/22 17:33,POND,MDT_2022-02-10_Surface_2,MDT,2022-02-10,Surface,1497.14242,1497.14242,38.37533,38.37533,0.29004,356.767505,1.11628,0.50291,35,105,0,0,97.254
159,4/24/22 17:48,POND,MDT_2022-02-10_Surface_3,MDT,2022-02-10,Surface,1544.58431,1544.58431,40.70118,40.70118,0.28981,356.767505,1.11628,0.50291,35,105,0,0,97.254
160,4/24/22 18:03,POND,DOBA8_2022-02-10_Surface_1,DOBA8,2022-02-10,Surface,4490.24607,4490.24607,996.8226,996.8226,0.07989,364.91017,0.93473,0.508205,35,105,1.5,1.5,97.254
161,4/24/22 18:18,POND,DOBA8_2022-02-10_Surface_2,DOBA8,2022-02-10,Surface,4467.87209,4467.87209,966.07452,966.07452,0.08011,364.91017,0.93473,0.508205,35,105,1.5,1.5,97.254
162,4/24/22 18:34,POND,DOBA8_2022-02-10_Surface_3,DOBA8,2022-02-10,Surface,4450.83667,4450.83667,974.76688,974.76688,0.09908,364.91017,0.93473,0.508205,35,105,1.5,1.5,97.254
163,4/24/22 18:49,POND,ELV_2022-02-10_Surface_1,ELV,2022-02-10,Surface,221.670115,221.670115,2495.85313,2495.85313,0.48356,356.894595,1.13021,0.50174,35,105,0.4,0.4,97.387
164,4/24/22 19:04,POND,ELV_2022-02-10_Surface_2,ELV,2022-02-10,Surface,238.01129,238.01129,1998.70689,1998.70689,0.48215,356.894595,1.13021,0.50174,35,105,0.4,0.4,97.387
165,4/24/22 19:19,POND,ELV_2022-02-10_Surface_3,ELV,2022-02-10,Surface,205.32894,205.32894,2992.99937,2992.99937,0.48497,356.894595,1.13021,0.50174,35,105,0.4,0.4,97.387
166,4/24/22 19:34,POND,LM-ARB_2022-02-11_Surface_1,LM-ARB,2022-02-11,Surface,4026.31698,4026.31698,542.98811,542.98811,0.45155,351.609615,1.22694,0.514185,35,105,0.7,0.7,96.814
167,4/24/22 19:50,POND,LM-ARB_2022-02-11_Surface_2,LM-ARB,2022-02-11,Surface,3852.41332,3852.41332,534.6046,534.6046,0.45883,351.609615,1.22694,0.514185,35,105,0.7,0.7,96.814
168,4/24/22 20:05,POND,LM-ARB_2022-02-11_Surface_3,LM-ARB,2022-02-11,Surface,4105.81993,4105.81993,552.37908,552.37908,0.45988,351.609615,1.22694,0.514185,35,105,0.7,0.7,96.814
169,4/24/22 20:20,POND,UM-ARB_2022-02-11_Surface_1,UM-ARB,2022-02-11,Surface,14782.37719,14782.37719,12498.23139,12498.23139,0.98178,372.00992,1.002705,0.510835,35,105,0.8,0.8,96.8
170,4/24/22 20:35,POND,UM-ARB_2022-02-11_Surface_2,UM-ARB,2022-02-11,Surface,14974.06101,14974.06101,11683.25346,11683.25346,1.04953,372.00992,1.002705,0.510835,35,105,0.8,0.8,96.8
171,4/24/22 20:51,POND,UM-ARB_2022-02-11_Surface_3,UM-ARB,2022-02-11,Surface,14842.01322,14842.01322,12549.55642,12549.55642,1.04693,372.00992,1.002705,0.510835,35,105,0.8,0.8,96.8
172,4/24/22 21:06,POND,OPP-W_2022-02-11_Surface_1,OPP-W,2022-02-11,Surface,8256.32745,8256.32745,2135.09091,2135.09091,0.08972,345.087185,1.01953,0.50751,35,105,0.5,0.5,96.334
173,4/24/22 21:21,POND,OPP-W_2022-02-11_Surface_2,OPP-W,2022-02-11,Surface,8207.6006,8207.6006,2135.70925,2135.70925,0.0887,345.087185,1.01953,0.50751,35,105,0.5,0.5,96.334
174,4/24/22 21:36,POND,OPP-W_2022-02-11_Surface_3,OPP-W,2022-02-11,Surface,7508.35097,7508.35097,1856.87122,1856.87122,0.13802,345.087185,1.01953,0.50751,35,105,0.5,0.5,96.334
175,4/24/22 21:51,POND,OPP-E_2022-02-11_Surface_1,OPP-E,2022-02-11,Surface,4251.99002,4251.99002,241.06566,241.06566,0.12762,354.185415,1.08766,0.50829,35,105,0.9,0.9,96.4
176,4/24/22 22:07,POND,OPP-E_2022-02-11_Surface_2,OPP-E,2022-02-11,Surface,4224.37896,4224.37896,276.75552,276.75552,0.1301,354.185415,1.08766,0.50829,35,105,0.9,0.9,96.4
177,4/24/22 22:22,POND,OPP-E_2022-02-11_Surface_3,OPP-E,2022-02-11,Surface,4263.07019,4263.07019,285.54118,285.54118,0.12301,354.185415,1.08766,0.50829,35,105,0.9,0.9,96.4
178,4/24/22 22:37,POND,DOBA7_2022-02-11_Surface_1,DOBA7,2022-02-11,Surface,2310.3411,2310.3411,7300.99762,7300.99762,1.01574,367.7771,1.104475,0.507895,35,105,0.5,0.5,96.054
179,4/24/22 22:52,POND,DOBA7_2022-02-11_Surface_2,DOBA7,2022-02-11,Surface,2302.25093,2302.25093,7999.51471,7999.51471,1.01914,367.7771,1.104475,0.507895,35,105,0.5,0.5,96.054
180,4/24/22 23:07,POND,DOBA7_2022-02-11_Surface_3,DOBA7,2022-02-11,Surface,2286.8608,2286.8608,7881.42433,7881.42433,1.02011,367.7771,1.104475,0.507895,35,105,0.2,0.5,96.054